date,total assets
2021-03-07 23:59:59,253542.98523697138
2021-03-08 23:59:59,260968.25519981436
2021-03-09 23:59:59,263891.95110311377
2021-03-10 23:59:59,254438.93072950668
2021-03-11 23:59:59,254819.1302932725
2021-03-12 23:59:59,240717.74099293945
2021-03-13 23:59:59,251490.39969099112
2021-03-14 23:59:59,241936.8857600423
2021-03-15 23:59:59,235145.8095446961
2021-03-16 23:59:59,240829.71627955025
2021-03-17 23:59:59,243289.75068767392
2021-03-18 23:59:59,238513.31004144988
2021-03-19 23:59:59,239796.83405537598
2021-03-20 23:59:59,241647.5312808348
2021-03-21 23:59:59,239048.63614244468
2021-03-22 23:59:59,231892.75359780836
2021-03-23 23:59:59,231387.30448216855
2021-03-24 23:59:59,222046.406386254
2021-03-25 23:59:59,220513.94590251555
2021-03-26 23:59:59,231478.13518513986
2021-03-27 23:59:59,231597.59782348716
2021-03-28 23:59:59,234588.17073960675
2021-03-29 23:59:59,239794.02502944088
2021-03-30 23:59:59,242576.8821490649
2021-03-31 23:59:59,244102.77061592415
2021-04-01 23:59:59,248249.66877367953
2021-04-02 23:59:59,253640.83323988586
2021-04-03 23:59:59,245695.71751875672
2021-04-04 23:59:59,252992.21738216022
2021-04-05 23:59:59,272784.977182068
2021-04-06 23:59:59,282397.04210259364
2021-04-07 23:59:59,259089.47611655836
2021-04-08 23:59:59,274834.66223032976
2021-04-09 23:59:59,271555.7399958123
2021-04-10 23:59:59,292837.0074722752
2021-04-11 23:59:59,307702.81195863354
2021-04-12 23:59:59,304457.86964222975
2021-04-13 23:59:59,332862.24779271026
2021-04-14 23:59:59,343470.0740732596
2021-04-15 23:59:59,356496.2589945221
2021-04-16 23:59:59,363418.8970263094
2021-04-17 23:59:59,353127.08263526764
2021-04-18 23:59:59,333745.6913817859
2021-04-19 23:59:59,330869.6452779187
2021-04-20 23:59:59,340036.8965391994
2021-04-21 23:59:59,330273.1962439067
2021-04-22 23:59:59,307579.7495963466
2021-04-23 23:59:59,300276.15278014925
2021-04-24 23:59:59,293328.6637662615
2021-04-25 23:59:59,287673.9333789049
2021-04-26 23:59:59,317798.2239135623
2021-04-27 23:59:59,327426.792271989
2021-04-28 23:59:59,336461.03047623514
2021-04-29 23:59:59,333408.9356149566
2021-04-30 23:59:59,351672.6710730844
2021-05-01 23:59:59,362671.6622250412
2021-05-02 23:59:59,355764.4621419459
2021-05-03 23:59:59,369375.7802131967
2021-05-04 23:59:59,352253.00590349693
2021-05-05 23:59:59,396141.19445666973
2021-05-06 23:59:59,398030.3652093976
2021-05-07 23:59:59,404907.2683308348
2021-05-08 23:59:59,407907.7048181077
2021-05-09 23:59:59,401941.650226681
2021-05-10 23:59:59,389590.73575348087
2021-05-11 23:59:59,407426.37439721235
2021-05-12 23:59:59,352331.93593013275
2021-05-13 23:59:59,374541.30674714275
2021-05-14 23:59:59,386172.8168513068
2021-05-15 23:59:59,370528.880804825
2021-05-16 23:59:59,370278.19007997535
2021-05-17 23:59:59,354053.60752915667
2021-05-18 23:59:59,358578.86817115574
2021-05-19 23:59:59,272504.2329661527
2021-05-20 23:59:59,309221.68648303504
2021-05-21 23:59:59,277757.3435185494
2021-05-22 23:59:59,264687.7003355502
2021-05-23 23:59:59,242467.33376310067
2021-05-24 23:59:59,283570.5267195008
2021-05-25 23:59:59,278712.2740132519
2021-05-26 23:59:59,294053.6765112865
2021-05-27 23:59:59,280682.8713597543
2021-05-28 23:59:59,270719.5060723182
2021-05-29 23:59:59,258499.2216663466
2021-05-30 23:59:59,269288.7213211268
2021-05-31 23:59:59,284537.8924070293
2021-06-01 23:59:59,286062.6067150523
2021-06-02 23:59:59,294143.5440027037
2021-06-03 23:59:59,299775.91537452023
2021-06-04 23:59:59,285811.224859429
2021-06-05 23:59:59,279146.37917504995
2021-06-06 23:59:59,283669.3257122224
2021-06-07 23:59:59,262276.0299785877
2021-06-08 23:59:59,262480.294074864
2021-06-09 23:59:59,276133.6058744907
2021-06-10 23:59:59,265589.94676214934
2021-06-11 23:59:59,257687.2914120548
2021-06-12 23:59:59,254155.72618986332
2021-06-13 23:59:59,267951.01112476527
2021-06-14 23:59:59,271819.987251962
2021-06-15 23:59:59,273758.8185394878
2021-06-16 23:59:59,259537.5048041204
2021-06-17 23:59:59,259470.7441972812
2021-06-18 23:59:59,246981.8319006355
2021-06-19 23:59:59,242143.45350442652
2021-06-20 23:59:59,242173.67772118843
2021-06-21 23:59:59,210898.86413339496
2021-06-22 23:59:59,205907.27364511605
2021-06-23 23:59:59,220329.68868872098
2021-06-24 23:59:59,230206.83019356214
2021-06-25 23:59:59,213899.35455091932
2021-06-26 23:59:59,216225.38806799962
2021-06-27 23:59:59,226627.75420839904
2021-06-28 23:59:59,228888.67313323313
2021-06-29 23:59:59,240230.85487295548
2021-06-30 23:59:59,241378.1941839836
2021-07-01 23:59:59,232146.4727559709
2021-07-02 23:59:59,232849.5453104487
2021-07-03 23:59:59,236331.5315960024
2021-07-04 23:59:59,240269.30958140062
2021-07-05 23:59:59,231359.6516149187
